"","ticker","mc","ivol","rnd"
"360","GTXI US Equity",501132128,89.81980133,570.8261108
"247","AMAG US Equity",1016142848,50.79669952,1148.310059
"214","IONS US Equity",1369467264,70.29589844,62.8924942
"316","ACOR US Equity",627590464,67.42469788,53.56787872
"340","VPHM US Equity",554892416,67.16840363,20.69527435
"235","INVA US Equity",1187700224,52.51839828,563.8384399
"320","NKTR US Equity",618567360,63.59270096,63.5162735
"198","REGN US Equity",1597517696,59.34320068,231.6749573
"136","VRTX US Equity",3073277952,55.55540085,314.4024048
"265","EXEL US Equity",902042112,54.93700027,218.6132355
"167","MYGN US Equity",2041249792,58.16429901,53.91994476
"4","ISRG US Equity",12341572608,56.96450043,9.125962257
"358","ABMD US Equity",505252032,56.70800018,51.36063385
"212","XNPT US Equity",1396525056,55.28649902,47.3902626
"36","AMED US Equity",1272504960,40.37509918,0
"1","CPHD US Equity",1462432896,55.00159836,23.04219818
"230","AUXL US Equity",1209580672,52.67829895,37.47903824
"44","UNH US Equity",75203813376,24.67679977,0
"12","GSK LN Equity",1.39967e+11,23.31349945,14.04309654
"77","CELG US Equity",17830600704,45.28010178,37.30837631
"199","ALKS US Equity",1593378432,47.73260117,48.32252502
"10","BSX US Equity",17337837568,45.02939987,13.23242188
"165","UTHR US Equity",2075853568,47.36149979,33.12558365
"128","BMRN US Equity",3427321856,45.62730026,68.94744873
"143","ALXN US Equity",2820550400,43.60010147,76.4631424
