"","ticker","mc","ivol","rnd"
"242","ACAD US Equity",3167707136,66.35718536,113013.3359
"367","TGTX US Equity",696395328,92.06362152,35939.66016
"317","NLNK US Equity",1111392256,117.0473099,389.0039368
"368","TXMD US Equity",694631744,108.7111893,356.1514587
"349","FOLD US Equity",791939968,103.3773727,4112.286621
"391","SRPT US Equity",597754880,101.0238113,2063.456055
"344","CEMP US Equity",842541120,100.4891891,201.5509033
"342","AXDX US Equity",856062592,66.67437744,37181.25
"418","ZIOP US Equity",520747232,90.00418854,1537.598755
"387","ARRY US Equity",624186496,90.04262543,200.8568115
"52","DPLO US Equity",1408152192,59.62131119,0
"248","BLUE US Equity",2912098048,87.3633728,261.571106
"424","GERN US Equity",510937344,79.72599792,3746.25
"382","EPZM US Equity",644660224,81.45349884,272.031311
"269","DYAX US Equity",1917972096,79.93450165,37.59378052
"385","SCMP US Equity",633310336,79.33987427,16.83564758
"340","BCRX US Equity",873864384,77.94137573,402.5942078
"298","KERX US Equity",1300955264,69.86062622,7442.578125
"417","IMGN US Equity",524207360,74.57537842,212.2093506
"301","ARIA US Equity",1286149376,74.23187256,187.9852905
"314","MACK US Equity",1196490752,73.93012238,155.8174438
"403","PRTA US Equity",568494400,73.41537476,699.0578613
"21","DEPO US Equity",946307648,73.61281586,3.193162918
"79","HNGR US Equity",772871744,50.22918701,0
"226","AGIO US Equity",4103912448,71.69581604,75.29793549
