"","ticker","mc","ivol","rnd"
"280","ARIA US Equity",647105856,79.22720337,1060.225464
"307","MDVN US Equity",524460288,76.69010162,108.9407654
"263","MNTA US Equity",739453632,64.50219727,24.03340912
"154","ITMN US Equity",2039539328,59.41970062,276.3176575
"251","JAZZ US Equity",765916032,60.86619949,16.34974289
"90","DNDNQ US Equity",5039972352,55.65409851,66.9716568
"209","AUXL US Equity",1006773888,54.44990158,26.9032135
"79","VRTX US Equity",7117892608,43.4048996,716.2597046
"3","ACOR US Equity",1065312640,51.86869812,12.52721977
"155","INCY US Equity",2038789376,49.3594017,181.4189148
"211","IONS US Equity",1004221760,48.31909943,121.2828369
"1","UTHR US Equity",3598298880,46.5019989,23.79827118
"12","NUVA US Equity",1011323072,44.76649857,8.385857582
"2","SLXP US Equity",2720744960,44.12390137,24.47379875
"13","VPHM US Equity",1350653440,44.07920074,8.649951935
"143","ONXX US Equity",2313323264,43.20980072,36.27513885
"15","SAN FP Equity",83844800512,24.79190063,13.13718414
"16","GSK LN Equity",1.00436e+11,20.40369987,14.73653316
"11","BSX US Equity",11506979840,40.10150146,12.00417519
"4","CBST US Equity",1269047808,40.88809967,22.80454826
"19","MYGN US Equity",2110048384,40.75220108,6.272725105
"25","BAYN GR Equity",61123002368,26.65189934,9.043234825
"22","ISRG US Equity",10127874048,37.31539917,7.810685158
"14","AMGN US Equity",51870367744,26.39629936,18.84171867
"34","SAZ GR Equity",1997258624,37.80540085,3.285533905
"9","ILMN US Equity",7920286720,35.8830986,18.88002586
"33","PHIA NA Equity",30208395264,30.73839951,6.3646698
"55","CELG US Equity",27833673728,31.00250053,27.85890961
"27","ABT US Equity",74060038144,20.39570045,12.43790913
"28","HOLX US Equity",4891131904,36.13669968,6.363311768
"23","GILD US Equity",29422084096,30.28639984,11.89272022
"30","MDT US Equity",39815229440,27.05590057,9.556751251
"35","ALR US Equity",3105440512,34.86619949,6.021026134
"26","A US Equity",14401241088,32.06539917,10.0888319
"29","AZN LN Equity",64189960192,20.0461998,13.63636398
"20","BMY US Equity",45325426688,23.07169914,17.1738224
"8","ATLN SW Equity",7046357504,31.34810066,25.1974659
"38","NOBN SW Equity",2336781824,32.46649933,5.917235851
"17","ALXN US Equity",7289026048,30.93230057,17.76730728
"31","1255459D US Equity",10363381760,30.23559952,10.38621521
"45","PRGO US Equity",5924324864,31.23430061,2.76413393
"21","1284849D US Equity",21116841984,27.58869934,16.05694389
"24","EW US Equity",9230205952,30.13319969,15.10461521
"41","SYK US Equity",21325348864,27.07819939,5.578185081
"40","MYL US Equity",9196173312,29.52829933,5.312620163
"43","DHR US Equity",30847021056,24.55509949,6.350430965
"42","BAX US Equity",29497649152,24.77930069,6.420596123
"64","BIIB US Equity",15978169344,26.60059929,27.13531113
"37","STJ US Equity",14657704960,26.69890022,12.10858917
"18","LLY US Equity",40406142976,20.62240028,21.57459068
"48","RHK GR Equity",3043011584,24.45630074,0
"44","VAR US Equity",8243336192,27.61160088,6.21070385
"46","ZBH US Equity",10598746112,26.75349998,5.968912125
"32","FRX US Equity",9134076928,26.42679977,14.31099987
"39","AGN US Equity",6844322304,26.65789986,8.590209007
"47","HSP US Equity",9304567808,25.93199921,6.868218899
"36","MRK GR Equity",17390135296,23.60790062,14.85300446
"49","FME GR Equity",17414156288,20.63500023,0.74536401
