"","ticker","mc","ivol","rnd"
"103","DNDNQ US Equity",3501862656,83.25039673,65976
"185","MDVN US Equity",1261636480,109.8826981,131.7544861
"266","ITMN US Equity",608563712,106.8984985,75.45677948
"213","SVNTQ US Equity",906783872,90.0019989,5387.195313
"283","MNTA US Equity",562292608,93.65859985,322.1557007
"299","GERN US Equity",508534304,71.08110046,2711.538574
"30","UNH US Equity",35418267648,35.90240097,0
"205","ACOR US Equity",960626496,62.69860077,53.88205719
"175","AUXL US Equity",1413659008,57.8993988,30.2636261
"13","GSK LN Equity",1.10592e+11,21.1746006,13.05119896
"15","BAYN GR Equity",66327388160,30.64830017,9.36147213
"6","AMGN US Equity",57256669184,33.29809952,16.97271729
"195","IONS US Equity",1093012864,50.3362999,126.3755569
"66","VRTX US Equity",8308567552,46.51929855,529.4386597
"27","ABT US Equity",83508404224,22.65029907,8.706439018
"5","VPHM US Equity",649744256,49.05569839,13.66339302
"144","ONXX US Equity",1823040896,45.34769821,51.54258728
"19","AZN LN Equity",68161454080,23.25020027,12.8780489
"22","MDT US Equity",48582561792,29.56299973,9.61438179
"11","BSX US Equity",13593869312,40.43289948,12.74074078
"143","BMRN US Equity",1894721920,43.80970001,33.40180969
"4","ILMN US Equity",3837840896,42.50989914,21.72644615
"48","CELG US Equity",25590661120,35.29949951,27.81638718
"18","HOLX US Equity",3740475136,42.41870117,5.636013031
"17","MYGN US Equity",2509897216,42.39709854,6.668076038
