"","ticker","mc","ivol","rnd"
"103","DNDNQ US Equity",3501862656,83.25039673,65976
"185","MDVN US Equity",1261636480,109.8826981,131.7544861
"266","ITMN US Equity",608563712,106.8984985,75.45677948
"213","SVNTQ US Equity",906783872,90.0019989,5387.195313
"283","MNTA US Equity",562292608,93.65859985,322.1557007
"299","GERN US Equity",508534304,71.08110046,2711.538574
"30","UNH US Equity",35418267648,35.90240097,0
"205","ACOR US Equity",960626496,62.69860077,53.88205719
"175","AUXL US Equity",1413659008,57.8993988,30.2636261
"13","GSK LN Equity",1.10592e+11,21.1746006,13.05119896
"15","BAYN GR Equity",66327388160,30.64830017,9.36147213
"6","AMGN US Equity",57256669184,33.29809952,16.97271729
"195","IONS US Equity",1093012864,50.3362999,126.3755569
"66","VRTX US Equity",8308567552,46.51929855,529.4386597
"27","ABT US Equity",83508404224,22.65029907,8.706439018
"5","VPHM US Equity",649744256,49.05569839,13.66339302
"144","ONXX US Equity",1823040896,45.34769821,51.54258728
"19","AZN LN Equity",68161454080,23.25020027,12.8780489
"22","MDT US Equity",48582561792,29.56299973,9.61438179
"11","BSX US Equity",13593869312,40.43289948,12.74074078
"143","BMRN US Equity",1894721920,43.80970001,33.40180969
"4","ILMN US Equity",3837840896,42.50989914,21.72644615
"48","CELG US Equity",25590661120,35.29949951,27.81638718
"18","HOLX US Equity",3740475136,42.41870117,5.636013031
"17","MYGN US Equity",2509897216,42.39709854,6.668076038
"2","CBST US Equity",1099252736,41.97269821,24.75162697
"28","PHIA NA Equity",28822913024,32.27289963,6.618039131
"14","GILD US Equity",38939754496,28.85810089,14.98044014
"147","ICLL AV Equity",1800410880,40.10440063,185.6643677
"26","ALR US Equity",3454159104,39.77700043,5.173476219
"20","ISRG US Equity",11588568064,36.96590042,8.799360275
"16","BMY US Equity",43220283392,26.26469994,15.27246189
"12","LLY US Equity",41031593984,24.83200073,20.17439842
"40","PDCO US Equity",3426685440,28.66769981,0
"31","SAZ GR Equity",2038134272,37.31299973,3.028918982
"114","UTHR US Equity",2834665472,36.49160004,32.45486832
"10","ALXN US Equity",4323792384,34.05360031,20.77698135
"33","BAX US Equity",35375931392,23.86000061,7.249602795
"25","STJ US Equity",12293905408,30.78949928,12.26485538
"7","ATLN SW Equity",6823134720,32.0868988,24.43941689
"21","1284849D US Equity",19376324608,27.95409966,15.49986935
"32","MYL US Equity",5631916544,32.34469986,5.522778034
"55","BIIB US Equity",15472118784,29.10149956,27.13521767
"24","A US Equity",10838188032,30.47730064,12.85346985
"34","NOBN SW Equity",4156826112,31.34690094,4.708699226
"29","1255459D US Equity",9312794624,29.61199951,10.33108616
"38","SYK US Equity",20034093056,25.99270058,5.062602043
"37","ZBH US Equity",12589189120,27.49570084,5.340302944
"39","DHR US Equity",24156864512,23.68289948,5.781816006
"35","VAR US Equity",5830566912,29.59790039,5.934578896
"63","FRX US Equity",9689700352,28.01379967,25.9624958
"23","MRK GR Equity",20302782464,23.70400047,17.87037468
"41","FME GR Equity",15803194368,23.54089928,0.78430599
"36","AGN US Equity",4799697920,26.79789925,7.838695049
