"","ticker","mc","ivol","rnd"
"228","ALXN US Equity",1400196096,45.78210068,8062.737793
"280","AMAG US Equity",839263040,61.99399948,2252.249023
"296","ARNA US Equity",761041920,73.68540192,514.6512451
"328","XNPT US Equity",604931648,72.82910156,547.0379639
"312","PGNX US Equity",670913088,66.84069824,88.25078583
"30","MOH US Equity",912575232,44.58240128,0
"279","IONS US Equity",844082496,60.3628006,583.2462158
"31","CNC US Equity",1060637760,44.41770172,0
"277","EXEL US Equity",861977664,60.21960068,195.6159668
"257","ITMN US Equity",1046459392,60.19960022,142.6209106
"130","VRTX US Equity",4699607552,58.95629883,180.3655548
"202","ILMN US Equity",1828225536,58.10350037,14.48234558
"347","GTXI US Equity",553243392,51.41999817,896.8283691
"201","INVA US Equity",1854570624,52.5746994,707.8746948
"241","MYGN US Equity",1244631936,56.51369858,78.56184387
"262","VPHM US Equity",1019938048,56.06719971,14.40285301
"290","ALNY US Equity",791750784,52.63809967,156.290329
"332","SVNTQ US Equity",583998400,53.04430008,34.66490936
"1","UTHR US Equity",1262264832,52.20479965,29.50466537
"52","UNH US Equity",72374108160,24.70369911,0
"11","BRKR US Equity",767717248,49.99409866,11.38171005
"58","AMED US Equity",844627520,34.18780136,0
"233","ALKS US Equity",1348424704,46.54940033,48.74448395
"230","NKTR US Equity",1373396096,45.93690109,59.66878128
"20","SIRO US Equity",2103593344,45.78730011,7.354177952
"2","CBST US Equity",992116480,45.60179901,28.80263329
"3","CELG US Equity",21426571264,42.41970062,27.26526451
"10","THOR US Equity",916457664,45.39400101,16.94011116
"13","GSK LN Equity",1.51544e+11,20.7397995,15.43778801
"4","AFFX US Equity",1564570240,43.89039993,25.55626488
"18","ALGN US Equity",895095616,43.99330139,9.789126396
"7","NUVA US Equity",781108032,43.12250137,21.64801025
"65","ANTM US Equity",48789463040,23.83480072,0
"22","CPTS US Equity",625955776,41.41889954,9.352582932
"6","MDCO US Equity",1610265728,39.61050034,26.63148689
"25","ISRG US Equity",3543466752,39.30780029,8.326028824
"27","KVPHQ US Equity",1177696000,38.56090164,8.019678116
"73","CI US Equity",13494858752,26.93969917,0
"183","PDLI US Equity",2320655616,37.63370132,63.63113785
"32","HOLX US Equity",2494473984,37.6969986,5.566194057
"23","AZN LN Equity",82348335104,23.72529984,14.76365852
"24","BSX US Equity",25322647552,31.86899948,13.4254694
"14","AMGN US Equity",79684870144,22.48520088,24.14175034
"82","UAM US Equity",1099581056,26.52750015,0
"28","GILD US Equity",29856561152,29.30310059,12.46171856
"37","1321686D US Equity",810716672,33.81639862,7.852538109
"38","ARTC US Equity",1076518656,32.80879974,8.694778442
"45","ENDP US Equity",3682156032,31.6807003,6.657916069
"19","ATLN SW Equity",5015607808,31.03170013,22.50084305
"47","HSP US Equity",5232093184,30.9015007,5.639923096
"48","PHIA NA Equity",46352805888,24.0298996,6.256929874
"339","SRDX US Equity",572390144,30.85020065,31.05331993
"42","QGEN US Equity",2266017280,30.71949959,8.563749313
"57","COO US Equity",2001734528,30.33919907,3.905549049
"12","BIIB US Equity",16583267328,27.79339981,29.9979248
"53","HAE US Equity",1211933952,30.05019951,5.64030695
"66","USNA US Equity",918550976,30.0170002,0.925547004
"36","MRK GR Equity",19838806016,26.93610001,12.03046703
"50","A US Equity",14187817984,27.60409927,6.25
"33","STJ US Equity",12922833920,27.56780052,13.23230362
"46","BAYN GR Equity",41097637888,22.99720001,8.711294174
"41","ABT US Equity",74763214848,17.65209961,11.08092022
"40","FRX US Equity",16026223616,26.76510048,11.32838345
"43","MDT US Equity",61597134848,19.6121006,10.40650368
"44","BIO US Equity",2189268736,28.70229912,10.16786766
"55","RMD US Equity",3742679040,28.28919983,6.634882927
"56","VAR US Equity",6140416512,27.58580017,6.105580807
"29","BMY US Equity",51764285440,20.29459953,18.19932556
"26","LLY US Equity",58955759616,18.62929916,19.55694771
"51","1255459D US Equity",2722312960,27.04879951,8.615207672
"70","WCRX US Equity",3462701824,26.95240021,2.462654114
"60","MYL US Equity",4231332352,26.71050072,6.017329216
"49","IART US Equity",1182779648,27.06369972,9.422445297
"86","DGX US Equity",10338089984,20.48180008,0
"67","PRGO US Equity",1602460928,26.86020088,3.834928036
"64","CNMD US Equity",646536896,26.70859909,4.685736179
"39","1284849D US Equity",18410743808,23.74620056,14.92315292
"61","PKI US Equity",2733601024,25.49250031,6.409643173
"62","WAT US Equity",4969725440,24.98940086,6.34168005
"63","SYK US Equity",22438979584,21.95059967,6.213292122
"77","NOBN SW Equity",7752481280,24.21039963,2.490566015
"76","STE US Equity",1626628864,24.78650093,2.921322107
"81","1339679D US Equity",1626628864,24.78650093,1.763281941
"68","ZBH US Equity",18705276928,21.66799927,5.696510792
"69","BAX US Equity",30360248320,19.76939964,5.827140808
"59","TECH US Equity",2183443712,24.01339912,9.273939133
"84","FME GR Equity",13074727936,21.7928009,0.528750002
"71","AGN US Equity",2667241984,22.91699982,6.685009956
"78","MTD US Equity",3098308352,22.16760063,5.15405798
"75","BCR US Equity",8544507904,21.13439941,6.253757954
"79","TMO US Equity",18482114560,19.49060059,5.332417011
"72","IDXX US Equity",2481994752,21.79649925,7.309210777
"80","BDX US Equity",17301614592,19.1868,5.620563984
"87","LH US Equity",9213137920,17.27330017,0
"85","PLL US Equity",4229320704,20.26269913,2.850860119
"74","EW US Equity",2723319552,17.56749916,11.35812378
