"","ticker","mc","ivol","rnd"
"264","ACAD US Equity",3597499648,78.16512299,48023.07813
"287","TSRO US Equity",2097526016,69.35099792,46049.42578
"415","NTRA US Equity",539957760,234.7299957,16.33089256
"352","RVNC US Equity",958605888,89.53731537,17354.66602
"53","GEN US Equity",532827680,68.53800201,0
"317","LXRX US Equity",1379218944,84.41212463,4083.215576
"101","UNH US Equity",1.12124e+11,25.14712524,0
"336","AXDX US Equity",1099545088,68.52919006,7064.130371
"398","ARRY US Equity",601848960,99.60687256,129.6412964
"337","ZIOP US Equity",1087686784,94.39019012,907.972168
"271","PTLA US Equity",2892550656,89.69981384,1662.259644
"419","KERX US Equity",531222560,94.19112396,264.9714966
"385","EPZM US Equity",668087616,73.94400024,4689.385254
"293","NVCR US Equity",1848653440,93.28762817,114.0511551
"71","DPLO US Equity",2202223616,61.97618866,0
"262","ICPT US Equity",3633913344,62.98649979,6176.854004
"1","ADRO US Equity",1779124352,90.63200378,61.69957352
"377","BPMC US Equity",713834880,84.50818634,340.9515381
"277","BLUE US Equity",2355391744,74.83687592,2295.694824
"43","NOVOB DC Equity",1.51292e+11,26.01137543,12.27605343
"52","GILD US Equity",1.45833e+11,27.93312454,8.957202911
"286","PRTA US Equity",2147014528,64.58731079,4005.827393
"82","KND US Equity",998019328,56.41437531,0
"25","HZNP US Equity",3451581440,80.98487854,5.770623207
"16","INSY US Equity",2062251904,80.52037811,13.50222969
"400","XNCR US Equity",591773760,79.03062439,302.0839233
"22","AGN US Equity",1.23164e+11,32.81918716,30.82736206
"294","TXMD US Equity",1844284160,77.71887207,316.4007568
"15","TDOC US Equity",690628224,78.52481079,19.73163795
"36","VRX CN Equity",34242271232,64.94768524,3.645759106
"92","CIVI US Equity",1067966080,52.43600082,0
"326","ONCE US Equity",1214170240,72.00881195,905.4769897
"13","SCMP US Equity",783530432,75.72268677,25.01793861
"345","DERM US Equity",1035490688,73.95218658,258.7671204
"269","KITE US Equity",2987716608,71.94918823,427.1083069
"41","AMGN US Equity",1.23087e+11,26.86650085,19.55268288
"329","ARIA US Equity",1183084288,72.71887207,165.8720398
"3","RTRX US Equity",697312832,73.41612244,50.21960449
"106","THC US Equity",3019976960,48.90181351,0
"5","XON US Equity",3509399040,70.65462494,40.47070313
"356","CHRS US Equity",895200960,66.79237366,951.8347778
"316","EGRX US Equity",1382351488,69.83668518,120.4846573
"9","ACHN US Equity",1473319680,69.84881592,35.43169785
"6","CELG US Equity",94089986048,33.89881134,55.88877869
"111","SGRY US Equity",986736704,48.24068832,0
"18","SUPN US Equity",657529792,69.36037445,23.65884018
"112","SEM US Equity",1564749824,47.79399872,0
"240","ALNY US Equity",7977019904,61.3766861,1085.041138
"357","EXAS US Equity",889199744,68.64687347,78.07948303
"113","PRAH US Equity",2726770688,47.09581375,0
"232","INCY US Equity",20171896832,60.45831299,70.39725494
"342","MGNX US Equity",1062653504,66.94868469,164.1781921
"256","JUNO US Equity",4424145408,63.08968735,718.039978
"117","BKD US Equity",3411040256,46.1554985,0
"35","BMY US Equity",1.14761e+11,23.76481247,27.82010269
"355","MACK US Equity",913035584,66.22018433,229.7019501
"118","AMED US Equity",1324738048,46.60362625,0
"119","CYH US Equity",3135528704,45.8406868,0
"69","SAN FP Equity",1.11479e+11,24.21381187,13.99793434
"324","EXEL US Equity",1281501312,65.47118378,264.7757263
"275","AGIO US Equity",2443630080,62.66418839,657.4452515
"79","BAYN GR Equity",1.04025e+11,26.2438755,9.44202137
"291","FGEN US Equity",1868882048,64.14019012,266.5114136
"49","DEPO US Equity",1096527616,65.57769012,4.414626122
"20","CORT US Equity",541704192,65.38837433,27.23776436
"4","ENTA US Equity",620613248,64.83131409,48.89706039
"304","XLRN US Equity",1621427712,63.00312424,320.9386292
"165","ESRX US Equity",59113283584,22.83250046,0
"29","AMAG US Equity",1047711424,63.69800186,20.60175514
"60","AKRX US Equity",4250531072,62.5418129,3.428025007
"57","INVA US Equity",1237668096,63.58950043,4.033328056
