"","ticker","mc","ivol","rnd"
"352","NLNK US Equity",565796160,119.240303,2311.320801
"287","ONVO US Equity",855470848,88.13819885,6952.173828
"370","AVNR US Equity",511078432,118.2539978,128.9910583
"338","GERN US Equity",611305536,101.0220032,2949.171387
"230","ARIA US Equity",1266175488,93.20770264,269.8123474
"185","CLDX US Equity",2152791808,79.74369812,2083.367432
"136","INVA US Equity",3941395968,48.8280983,7607.061523
"332","NBIX US Equity",628987264,80.07649994,1301.783325
"182","ACAD US Equity",2270753024,70.27249908,3022.5
"10","HZNP US Equity",501835584,71.40609741,8.215729713
"304","SRPT US Equity",765551680,82.66539764,505.9261169
"291","EXAS US Equity",833280832,74.12259674,673.9382324
"229","ARNA US Equity",1278658432,74.35189819,407.825592
"350","OREX US Equity",570735168,68.11969757,1520.070068
"2","NPSP US Equity",3099793664,74.47820282,47.95163345
"1","OPK US Equity",3387145984,73.64160156,53.70379257
"201","HALO US Equity",1709288576,71.90609741,160.4254456
"3","AEGR US Equity",2075273216,70.75569916,48.32823181
"85","VRTX US Equity",17368135680,64.08570099,103.1231384
"225","NKTR US Equity",1317909504,66.99759674,72.09771729
"9","PCYC US Equity",7797280768,65.75689697,13.80740356
"178","XON US Equity",2308413440,64.19909668,175.4932404
"286","SGMO US Equity",858363136,60.08860016,152.496933
"129","IONS US Equity",4624402944,58.88090134,193.5976257
"13","GILD US Equity",1.15155e+11,36.75379944,19.62906075
