"","ticker","mc","ivol","rnd"
"305","ALXN US Equity",626020672,69.29599762,13603.94043
"325","KERX US Equity",551888448,80.11889648,8203.658203
"314","ILMN US Equity",580213568,124.7858963,36.18569565
"292","MNTA US Equity",671397888,87.58039856,212.2421417
"293","AMED US Equity",667615872,56.23669815,0
"223","VPHM US Equity",1237829376,81.42939758,7.053466797
"41","UNH US Equity",84821098496,26.29299927,0
"20","LCAV US Equity",981257280,50.76490021,0
"341","ARNA US Equity",502860608,63.9844017,280.1564941
"8","GSK LN Equity",1.46897e+11,21.52129936,14.6773901
"162","VRTX US Equity",2742833152,63.4219017,175.6290283
"27","CNC US Equity",1121867904,45.53039932,0
"272","EXEL US Equity",783097792,61.7928009,244.4583435
"262","LGND US Equity",826564032,61.78530121,28.84752846
"313","NVLN CN Equity",594186944,61.7336998,28.44409561
"309","PGNX US Equity",612574912,58.145401,358.7599182
"322","GERN US Equity",558050304,45.4856987,1810.252563
"58","ANTM US Equity",52989337600,26.12439919,0
"206","NKTR US Equity",1442289408,56.72669983,106.1533813
"39","MOH US Equity",739651584,40.35449982,0
"10","VIVO US Equity",524852416,54.67210007,3.745603085
"5","ISRG US Equity",4159965696,53.17490005,7.535236835
"9","HOLX US Equity",1680015232,53.45209885,5.529488087
"269","BMRN US Equity",796520192,51.34389877,183.3223419
"230","CBST US Equity",1141182720,51.63579941,37.05797577
"12","AMGN US Equity",97338458112,22.53190041,17.81864357
"1","LIVN US Equity",809001920,48.60079956,25.46382141
"7","CYBX US Equity",809001920,48.60079956,11.37507534
"261","MDCO US Equity",867638464,46.3205986,55.82664108
"103","CELG US Equity",10990662656,43.10680008,38.10479736
"188","ALKS US Equity",1749320064,45.74990082,41.48817825
"4","SLXP US Equity",812213568,45.95650101,18.08149529
"327","ITMN US Equity",549215488,45.14550018,60.02840042
"23","AZN LN Equity",76814155776,21.90780067,13.49110413
"194","UTHR US Equity",1597688064,44.2405014,28.54589844
"147","PDLI US Equity",3206821888,43.24140167,64.525383
"17","VRX CN Equity",3777282304,43.51760101,7.716482162
"265","MYGN US Equity",811547392,42.26070023,73.52870941
"21","1321686D US Equity",694220160,41.17419815,8.034949303
"33","USNA US Equity",714754176,40.89009857,0.670112014
"15","GILD US Equity",24072781824,33.65200043,15.97524357
"38","MDT US Equity",69636407296,19.11739922,9.958776474
"13","THOR US Equity",1047607104,38.95610046,16.57009506
"18","LLY US Equity",64321789952,19.68959999,20.85473824
"43","ABT US Equity",61164937216,20.33130074,8.337099075
"2","SRDX US Equity",686009088,38.13290024,26.93598557
"98","BIIB US Equity",15368480768,33.03210068,38.08031082
"75","CI US Equity",14049647616,25.25860023,0
"25","BSX US Equity",20069165056,31.07740021,11.97882175
"26","QGEN US Equity",1736129536,36.18220139,9.019873619
"6","AFFX US Equity",3169114880,35.49779892,23.76957893
"30","ITGR US Equity",563004672,35.43989944,8.217068672
"29","ARTC US Equity",1056534080,35.05649948,9.81090641
"47","PHIA NA Equity",40879284224,22.38820076,8.405454636
"31","ENDP US Equity",4015988992,33.25,9.031117439
"35","KVPHQ US Equity",1016086208,34.13610077,6.665213108
"49","ICUI US Equity",544140672,34.26449966,2.908176899
"40","RMD US Equity",2713505024,33.08549881,6.627231121
"77","CYH US Equity",3394105856,26.14290047,0
"36","FRX US Equity",13741456384,29.56609917,9.044032097
"32","BMY US Equity",44960845824,20.07799911,14.03398418
"28","COO US Equity",2266444288,32.21210098,12.45015526
"67","A US Equity",16778160128,27.88279915,0.781804979
"51","SYK US Equity",17993562112,27.15850067,5.998805046
"44","HAE US Equity",1293548928,31.89529991,6.252488136
"50","CBM US Equity",500686016,32.03530121,4.648849964
"52","GN DC Equity",2875404544,31.15200043,4.336042881
"19","SHP LN Equity",6407631360,29.7866993,19.75951767
"55","ZBH US Equity",16709636096,26.7432003,5.757377148
"57","BAYN GR Equity",30498099200,22.56340027,6.859592915
"53","CNMD US Equity",698402944,31.31539917,4.273520947
"34","MRK GR Equity",15801143296,26.66449928,11.98451042
"24","1284849D US Equity",14494148608,26.43600082,18.18181801
"42","1255459D US Equity",3522030592,29.62680054,9.114794731
"37","STJ US Equity",18402336768,24.38019943,13.21437263
"54","PKI US Equity",3081584384,28.95809937,6.023746967
"64","NDN CN Equity",2458378240,29.01099968,2.762430906
"60","IART US Equity",994677824,29.3708992,4.485598087
"59","VAR US Equity",6621693440,27.44779968,5.587275982
"22","LUN DC Equity",4702476800,27.78730011,20.24014473
"66","BAX US Equity",23479353344,22.00639915,5.546288967
"56","WAT US Equity",4183424256,27.75909996,6.226398945
"62","HSP US Equity",6881291264,26.31649971,5.410695076
"48","MYL US Equity",4297599488,26.8757,9.449519157
"45","TECH US Equity",2180076288,27.3689003,9.887023926
"46","BIO US Equity",1710219520,27.04319954,10.12375259
"61","BCR US Equity",6912878592,25.41060066,6.586960793
"68","PRGO US Equity",1392772992,26.8845005,3.956100941
"71","STE US Equity",1710439808,26.49799919,3.524281979
"73","1339679D US Equity",1710439808,26.49799919,2.652409077
"72","SN/ LN Equity",8637621248,23.89559937,4.484173775
"69","TMO US Equity",4888526336,24.22100067,5.708474159
"79","FME GR Equity",9835807744,22.72220039,0.798307002
"80","DGX US Equity",10449843200,19.02420044,0
"63","AGN US Equity",3602595840,24.29829979,7.272798061
"74","BDX US Equity",14880867328,20.37179947,5.549354076
"76","PLL US Equity",3346232064,23.60759926,3.030415058
"70","IDXX US Equity",2307325952,23.42910004,6.669871807
"81","LH US Equity",7157752832,18.40800095,0
"65","EW US Equity",2474284544,20.99749947,9.962639809
"78","MTD US Equity",2294007296,19.66489983,5.285583019
