"","ticker","mc","ivol","rnd"
"264","ACAD US Equity",3597499648,78.16512299,48023.07813
"287","TSRO US Equity",2097526016,69.35099792,46049.42578
"415","NTRA US Equity",539957760,234.7299957,16.33089256
"352","RVNC US Equity",958605888,89.53731537,17354.66602
"53","GEN US Equity",532827680,68.53800201,0
"317","LXRX US Equity",1379218944,84.41212463,4083.215576
"101","UNH US Equity",1.12124e+11,25.14712524,0
"336","AXDX US Equity",1099545088,68.52919006,7064.130371
"398","ARRY US Equity",601848960,99.60687256,129.6412964
"337","ZIOP US Equity",1087686784,94.39019012,907.972168
"271","PTLA US Equity",2892550656,89.69981384,1662.259644
"419","KERX US Equity",531222560,94.19112396,264.9714966
"385","EPZM US Equity",668087616,73.94400024,4689.385254
"293","NVCR US Equity",1848653440,93.28762817,114.0511551
"71","DPLO US Equity",2202223616,61.97618866,0
"262","ICPT US Equity",3633913344,62.98649979,6176.854004
"1","ADRO US Equity",1779124352,90.63200378,61.69957352
"377","BPMC US Equity",713834880,84.50818634,340.9515381
"277","BLUE US Equity",2355391744,74.83687592,2295.694824
"43","NOVOB DC Equity",1.51292e+11,26.01137543,12.27605343
"52","GILD US Equity",1.45833e+11,27.93312454,8.957202911
"286","PRTA US Equity",2147014528,64.58731079,4005.827393
"82","KND US Equity",998019328,56.41437531,0
"25","HZNP US Equity",3451581440,80.98487854,5.770623207
"16","INSY US Equity",2062251904,80.52037811,13.50222969
