"","ticker","mc","ivol","rnd"
"197","PCYC US Equity",1018139968,62.94520187,30400
"220","ITMN US Equity",825395776,85.70110321,325.9705505
"185","DNDNQ US Equity",1132079232,84.09349823,31.75914383
"191","MAKO US Equity",1050142720,67.98239899,25.25232315
"145","ARIA US Equity",1929918976,63.37070084,78.45105743
"162","MDVN US Equity",1609838336,61.09659958,125.2074966
"1","ILMN US Equity",3789876992,55.20320129,21.40093994
"146","SGEN US Equity",1922413824,55.09619904,198.7806091
"114","ONXX US Equity",2796367104,54.96089935,78.00003052
"90","REGN US Equity",5131471360,53.29629898,124.3997574
"84","VRTX US Equity",6926483456,52.00130081,28.67900467
"19","JAZZ US Equity",1628536448,52.20920181,4.473824024
"6","ACOR US Equity",945673216,51.73279953,9.768787384
"2","MNTA US Equity",891084480,50.45040131,18.54227066
"21","WCRX US Equity",3844756992,49.6896019,3.86459589
"17","GSK LN Equity",1.15186e+11,20.20070076,13.85135078
"13","A US Equity",12160013312,46.80350113,9.432869911
"18","SAN FP Equity",98582274048,23.6079998,13.31225491
"104","LUN DC Equity",3693192960,47.75099945,27.72327042
"11","BSX US Equity",7911240704,44.43360138,12.21985054
"27","NOBN SW Equity",1439998592,45.57619858,5.1509552
"94","ATLN SW Equity",4479750656,44.14030075,25.55834007
"30","BAYN GR Equity",52943183872,31.45100021,7.970012188
"26","ALR US Equity",1986014848,44.65579987,5.936128139
"22","NOVOB DC Equity",66741055488,25.46780014,13.68860435
"31","HSP US Equity",5002115072,40.55550003,7.095321178
"38","ABT US Equity",87594852352,18.81019974,10.28482723
"4","BIIB US Equity",26733047808,34.06829834,23.00879288
"34","HOLX US Equity",4607168000,39.86930084,6.182916164
"16","EW US Equity",8065116672,37.91730118,14.95032692
"15","AMGN US Equity",56282910720,25.19809914,19.29513168
"41","MYL US Equity",9152949248,37.44210052,4.496064186
"39","DHR US Equity",32285775872,31.26479912,6.409833908
"35","ISRG US Equity",18054705152,34.90660095,7.924781799
"36","MDT US Equity",40366800896,28.94000053,9.17231369
"10","ELN ID Equity",8185400832,36.88550186,18.0213089
"23","GILD US Equity",30744127488,30.97270012,13.67165279
"44","PRGO US Equity",9102112768,36.27880096,2.707587957
"24","STJ US Equity",10941323264,35.47529984,12.75317192
"40","ENDP US Equity",4034361088,36.86449814,5.781223774
"14","LLY US Equity",48116592640,25.21260071,20.82011795
"55","CELG US Equity",30009714688,29.81010056,28.55312729
"43","SAZ GR Equity",1468898304,37.27780151,3.109838963
"25","AZN LN Equity",59627606016,21.76390076,15.77986145
"20","BMY US Equity",59715289088,21.47900009,18.2039299
"42","PHIA NA Equity",21288251392,31.26399994,7.211717129
"32","1255459D US Equity",6933952512,34.49729919,11.18899155
"37","GN DC Equity",1757527040,35.59529877,8.903606415
"12","MEDAA SS Equity",3144751360,34.77069855,19.64008713
"46","SYK US Equity",19022675968,29.20249939,6.006893158
"45","BAX US Equity",27900094464,26.86630058,6.869790077
"9","CBST US Equity",2439447040,33.01279831,22.89115334
"48","GRF SM Equity",4825315840,31.60560036,4.949500084
"28","1284849D US Equity",26763509760,25.63439941,16.65913963
"47","ZBH US Equity",9571635200,29.67950058,5.913718224
"52","RHK GR Equity",2637068544,25.67060089,0
"33","MRK GR Equity",21702125568,25.55260086,15.24052143
"29","FRX US Equity",8084052992,27.50049973,16.95532608
"50","FRE GR Equity",15118175232,23.86879921,1.566707015
"51","FME GR Equity",20623323136,22.25209999,0.851673007
"49","GETIB SS Equity",6039902720,25.41040039,5.322647095
