"","ticker","mc","ivol","rnd"
"280","ARIA US Equity",647105856,79.22720337,1060.225464
"307","MDVN US Equity",524460288,76.69010162,108.9407654
"263","MNTA US Equity",739453632,64.50219727,24.03340912
"154","ITMN US Equity",2039539328,59.41970062,276.3176575
"251","JAZZ US Equity",765916032,60.86619949,16.34974289
"90","DNDNQ US Equity",5039972352,55.65409851,66.9716568
"209","AUXL US Equity",1006773888,54.44990158,26.9032135
"79","VRTX US Equity",7117892608,43.4048996,716.2597046
"3","ACOR US Equity",1065312640,51.86869812,12.52721977
"155","INCY US Equity",2038789376,49.3594017,181.4189148
"211","IONS US Equity",1004221760,48.31909943,121.2828369
"1","UTHR US Equity",3598298880,46.5019989,23.79827118
"12","NUVA US Equity",1011323072,44.76649857,8.385857582
"2","SLXP US Equity",2720744960,44.12390137,24.47379875
"13","VPHM US Equity",1350653440,44.07920074,8.649951935
"143","ONXX US Equity",2313323264,43.20980072,36.27513885
"15","SAN FP Equity",83844800512,24.79190063,13.13718414
"16","GSK LN Equity",1.00436e+11,20.40369987,14.73653316
"11","BSX US Equity",11506979840,40.10150146,12.00417519
"4","CBST US Equity",1269047808,40.88809967,22.80454826
"19","MYGN US Equity",2110048384,40.75220108,6.272725105
"25","BAYN GR Equity",61123002368,26.65189934,9.043234825
"22","ISRG US Equity",10127874048,37.31539917,7.810685158
"14","AMGN US Equity",51870367744,26.39629936,18.84171867
"34","SAZ GR Equity",1997258624,37.80540085,3.285533905
