"","ticker","mc","ivol","rnd"
"234","AMAG US Equity",609521728,86.7888031,3949.615479
"255","EXEL US Equity",530110496,86.31559753,219.3972931
"38","UNH US Equity",32127733760,58.4518013,0
"44","AMED US Equity",1115911296,62.59120178,0
"209","INVA US Equity",766269504,77.3451004,334.6391296
"92","VRTX US Equity",4571163136,72.11530304,411.1740417
"156","IONS US Equity",1375489792,79.21029663,99.23327637
"1","VPHM US Equity",1024536000,80.68430328,22.86347008
"149","REGN US Equity",1462386816,77.37110138,112.6113129
"3","ALXN US Equity",2820131072,77.82230377,19.44313622
"180","ALKS US Equity",1015099968,77.17960358,41.66050339
"207","ACOR US Equity",773530560,76.21469879,69.39381409
"238","CPHD US Equity",598382080,77.09940338,25.85105133
"49","ANTM US Equity",21445867520,51.91220093,0
"2","UTHR US Equity",1452961408,73.82980347,25.60640717
"18","MYL US Equity",3013497856,72.54930115,6.217175961
"164","AUXL US Equity",1201780480,71.51940155,40.75188065
"259","NKTR US Equity",513999744,67.75260162,178.483139
"22","HOLX US Equity",3348869888,69.625,4.732967854
"7","THOR US Equity",1821824768,69.09660339,16.63428879
"4","ILMN US Equity",3223382528,68.33869934,18.34620094
"23","ALR US Equity",1477300352,67.7365036,5.856882095
"19","ISRG US Equity",4967061504,66.27829742,9.279975891
"15","BSX US Equity",11621793792,64.42980194,12.74014187
"151","ICLL AV Equity",1439080192,61.35639954,204.4104156
