"","ticker","mc","ivol","rnd"
"352","NLNK US Equity",565796160,119.240303,2311.320801
"287","ONVO US Equity",855470848,88.13819885,6952.173828
"370","AVNR US Equity",511078432,118.2539978,128.9910583
"338","GERN US Equity",611305536,101.0220032,2949.171387
"230","ARIA US Equity",1266175488,93.20770264,269.8123474
"185","CLDX US Equity",2152791808,79.74369812,2083.367432
"136","INVA US Equity",3941395968,48.8280983,7607.061523
"332","NBIX US Equity",628987264,80.07649994,1301.783325
"182","ACAD US Equity",2270753024,70.27249908,3022.5
"10","HZNP US Equity",501835584,71.40609741,8.215729713
"304","SRPT US Equity",765551680,82.66539764,505.9261169
"291","EXAS US Equity",833280832,74.12259674,673.9382324
"229","ARNA US Equity",1278658432,74.35189819,407.825592
"350","OREX US Equity",570735168,68.11969757,1520.070068
"2","NPSP US Equity",3099793664,74.47820282,47.95163345
"1","OPK US Equity",3387145984,73.64160156,53.70379257
"201","HALO US Equity",1709288576,71.90609741,160.4254456
"3","AEGR US Equity",2075273216,70.75569916,48.32823181
"85","VRTX US Equity",17368135680,64.08570099,103.1231384
"225","NKTR US Equity",1317909504,66.99759674,72.09771729
"9","PCYC US Equity",7797280768,65.75689697,13.80740356
"178","XON US Equity",2308413440,64.19909668,175.4932404
"286","SGMO US Equity",858363136,60.08860016,152.496933
"129","IONS US Equity",4624402944,58.88090134,193.5976257
"13","GILD US Equity",1.15155e+11,36.75379944,19.62906075
"49","THC US Equity",4179428608,38.83150101,0
"51","UNH US Equity",75808890880,23.81089973,0
"102","INCY US Equity",8157483008,53.49760056,84.23575592
"127","SGEN US Equity",4885779968,53.39319992,95.60089874
"23","EVT GR Equity",661851968,51.25320053,11.23994923
"8","CELG US Equity",69626560512,36.73789978,34.90802765
"6","REGN US Equity",27363985408,44.81779861,37.52677917
"20","SAN FP Equity",1.40551e+11,21.37220001,13.888237
"17","BIIB US Equity",66038521856,35.34640121,22.43251419
"24","AUXL US Equity",1027756096,47.75450134,10.92657661
"5","MDVN US Equity",4815563776,46.11360168,47.87345886
"32","JAZZ US Equity",7313866752,44.49440002,5.519468784
"28","BAYN GR Equity",1.16057e+11,21.39719963,8.099139214
"18","ALXN US Equity",26055149568,39.34220123,22.02994537
"31","MYGN US Equity",1568328192,43.39960098,8.29913044
"21","AMGN US Equity",86030721024,25.85009956,20.82982254
"19","BMY US Equity",87513751552,25.26749992,21.96801949
"26","ABBV US Equity",84013416448,25.77899933,15.32846737
"66","HUM US Equity",16093370368,27.63940048,0
"36","ENDP US Equity",7750419456,40.98889923,5.326217175
"27","GSK LN Equity",1.29305e+11,15.07050037,13.82488537
"30","MDCO US Equity",2468627968,39.58209991,13.30430031
"67","RHK GR Equity",4044617472,28.4279995,0
"25","ILMN US Equity",13978138624,36.35800171,19.88705254
"94","BMRN US Equity",10004661248,36.64640045,64.33946228
"40","ALGN US Equity",4589412864,37.75630188,6.635015965
"11","CBST US Equity",5100546560,36.4233017,46.40084457
"35","BSX US Equity",16049361920,34.16899872,12.50720501
"39","AFX GR Equity",2710404608,35.20660019,10.11643219
"43","AGN US Equity",29238032384,29.35969925,7.888722897
"38","NOBN SW Equity",1931310976,34.87850189,11.03212643
"45","RMD US Equity",6689193984,32.91469955,7.650518894
"191","MOR GR Equity",2014745600,33.39870071,85.62267303
"48","ISRG US Equity",14619691008,29.86310005,8.657315254
"50","HOLX US Equity",6104427520,31.22060013,7.83404398
"42","AZN LN Equity",74160349184,16.71089935,13.72799969
"53","ABT US Equity",59265298432,19.79850006,6.646821022
"59","TMO US Equity",40238247936,23.71010017,3.00457406
"47","A US Equity",18976129024,27.75659943,10.06984901
"55","MYL US Equity",16615987200,28.12529945,6.449775219
"56","DHR US Equity",53823827968,20.34740067,6.620120049
"29","LLY US Equity",57459134464,19.27969933,23.90603828
"37","1284849D US Equity",33008801792,24.30949974,16.52659225
"52","MDT US Equity",57295319040,19.34199905,8.869813919
"61","SAZ GR Equity",2989145088,30.41500092,2.654592037
"54","PHIA NA Equity",34399723520,23.76740074,7.778569221
"62","PRGO US Equity",20482764800,25.77090073,3.194788933
"34","ATLN SW Equity",10172623872,27.6026001,21.61603546
"44","MRK GR Equity",38978306048,21.62929916,14.26207924
"57","HSP US Equity",6847329280,28.24690056,6.933147907
"41","EW US Equity",7194573312,27.79140091,16.96932983
"46","STJ US Equity",18077827072,25.50810051,12.85500717
"58","ZTS US Equity",16345223168,24.54649925,8.431550026
"64","GRF SM Equity",14854472704,24.39660072,4.774816036
"63","COV US Equity",30808614912,20.92160034,5.703125
"60","BAX US Equity",37744619520,19.36949921,7.684154987
"65","SYK US Equity",28434399232,19.69619942,6.322640896
"69","FRE GR Equity",27477389312,18.89480019,1.68483603
"71","FME GR Equity",22004056064,18.14769936,0.905887008
"68","DRW3 GR Equity",1932809728,20.3173008,9.183527946
