"","ticker","mc","ivol","rnd"
"360","GTXI US Equity",501132128,89.81980133,570.8261108
"247","AMAG US Equity",1016142848,50.79669952,1148.310059
"214","IONS US Equity",1369467264,70.29589844,62.8924942
"316","ACOR US Equity",627590464,67.42469788,53.56787872
"340","VPHM US Equity",554892416,67.16840363,20.69527435
"235","INVA US Equity",1187700224,52.51839828,563.8384399
"320","NKTR US Equity",618567360,63.59270096,63.5162735
"198","REGN US Equity",1597517696,59.34320068,231.6749573
"136","VRTX US Equity",3073277952,55.55540085,314.4024048
"265","EXEL US Equity",902042112,54.93700027,218.6132355
"167","MYGN US Equity",2041249792,58.16429901,53.91994476
"4","ISRG US Equity",12341572608,56.96450043,9.125962257
"358","ABMD US Equity",505252032,56.70800018,51.36063385
"212","XNPT US Equity",1396525056,55.28649902,47.3902626
"36","AMED US Equity",1272504960,40.37509918,0
"1","CPHD US Equity",1462432896,55.00159836,23.04219818
"230","AUXL US Equity",1209580672,52.67829895,37.47903824
"44","UNH US Equity",75203813376,24.67679977,0
"12","GSK LN Equity",1.39967e+11,23.31349945,14.04309654
"77","CELG US Equity",17830600704,45.28010178,37.30837631
"199","ALKS US Equity",1593378432,47.73260117,48.32252502
"10","BSX US Equity",17337837568,45.02939987,13.23242188
"165","UTHR US Equity",2075853568,47.36149979,33.12558365
"128","BMRN US Equity",3427321856,45.62730026,68.94744873
"143","ALXN US Equity",2820550400,43.60010147,76.4631424
"7","ILMN US Equity",3281640960,44.00429916,20.25740814
"8","THOR US Equity",982516480,44.00080109,19.10980225
"5","CBST US Equity",1150371072,43.36769867,22.4196701
"55","ANTM US Equity",50122711040,23.98789978,0
"18","ALR US Equity",4288427264,42.54629898,12.20353794
"3","ATLN SW Equity",5590612992,41.93180084,23.78896141
"54","CI US Equity",14999428096,30.30310059,0
"22","ABT US Equity",86767050752,25.47270012,10.04778957
"20","GILD US Equity",42824818688,33.51200104,13.25619602
"9","AMGN US Equity",50510086144,31.20280075,21.48989105
"27","MYL US Equity",4251625984,40.0646019,7.03786087
"31","PRGO US Equity",3275076864,40.08039856,4.263990879
"14","FRX US Equity",11367184384,38.12409973,19.12709236
"28","BAYN GR Equity",69616934912,27.19379997,8.212497711
"78","BIIB US Equity",16698579968,35.88090134,36.27252579
"23","QGEN US Equity",4056177152,38.7336998,10.13406372
"17","AZN LN Equity",62640177152,27.10790062,18.6713295
"33","PHIA NA Equity",49281912832,28.95389938,6.315144062
"32","HOLX US Equity",8603447296,36.55939865,5.560217857
"19","LLY US Equity",60560957440,25.5795002,18.41152954
"30","MDT US Equity",56838213632,25.58539963,9.53905201
"39","COO US Equity",1707666688,35.48929977,3.654895067
"21","BMY US Equity",52470124544,25.04199982,16.37623787
"26","STJ US Equity",13913291776,32.02209854,12.62645054
"43","SAZ GR Equity",3592762624,33.74420166,2.588917017
"58","CRL US Equity",4469287424,26.58589935,0
"29","A US Equity",13593799680,30.89039993,12.03319454
"188","ICLL AV Equity",1762199808,29.97879982,132.3840485
"35","BAX US Equity",36807909376,26.15010071,7.381817818
"25","MRK GR Equity",28252168192,27.53590012,15.01255512
"37","PKI US Equity",3084301568,32.48460007,6.358051777
"166","PDLI US Equity",2051683072,30.85320091,50.84447098
"24","1284849D US Equity",19754563584,27.65979958,16.54422951
"49","DHR US Equity",27766192128,26.26300049,4.802406788
"40","SYK US Equity",30671372288,25.61809921,6.6611619
"50","NOBN SW Equity",7107441664,29.97629929,3.977669001
"34","ENDP US Equity",3532449536,30.5095005,9.977362633
"46","IART US Equity",1105404800,30.95400047,4.848350048
"42","VAR US Equity",6526139392,29.68639946,6.277037144
"47","ZBH US Equity",15527085056,27.28079987,5.868024826
"38","1255459D US Equity",4349720576,29.08160019,9.071338654
"41","IDXX US Equity",3589739008,28.95420074,7.533623219
"56","TMO US Equity",24229326848,25.11400032,2.448776007
"48","WAT US Equity",7940604928,28.03249931,6.238691807
"59","LH US Equity",8701056000,22.98990059,0
"51","AGN US Equity",2812491008,28.30459976,5.995736122
"57","FME GR Equity",15735230464,25.90810013,0.644604027
"60","DGX US Equity",10241651712,21.50830078,0
"53","BCR US Equity",9659826176,24.3885994,6.240821838
"45","EW US Equity",2607872256,22.86709976,11.82096386
