"","ticker","mc","ivol","rnd"
"228","ALXN US Equity",1400196096,45.78210068,8062.737793
"280","AMAG US Equity",839263040,61.99399948,2252.249023
"296","ARNA US Equity",761041920,73.68540192,514.6512451
"328","XNPT US Equity",604931648,72.82910156,547.0379639
"312","PGNX US Equity",670913088,66.84069824,88.25078583
"30","MOH US Equity",912575232,44.58240128,0
"279","IONS US Equity",844082496,60.3628006,583.2462158
"31","CNC US Equity",1060637760,44.41770172,0
"277","EXEL US Equity",861977664,60.21960068,195.6159668
"257","ITMN US Equity",1046459392,60.19960022,142.6209106
"130","VRTX US Equity",4699607552,58.95629883,180.3655548
"202","ILMN US Equity",1828225536,58.10350037,14.48234558
"347","GTXI US Equity",553243392,51.41999817,896.8283691
"201","INVA US Equity",1854570624,52.5746994,707.8746948
"241","MYGN US Equity",1244631936,56.51369858,78.56184387
"262","VPHM US Equity",1019938048,56.06719971,14.40285301
"290","ALNY US Equity",791750784,52.63809967,156.290329
"332","SVNTQ US Equity",583998400,53.04430008,34.66490936
"1","UTHR US Equity",1262264832,52.20479965,29.50466537
"52","UNH US Equity",72374108160,24.70369911,0
"11","BRKR US Equity",767717248,49.99409866,11.38171005
"58","AMED US Equity",844627520,34.18780136,0
"233","ALKS US Equity",1348424704,46.54940033,48.74448395
"230","NKTR US Equity",1373396096,45.93690109,59.66878128
"20","SIRO US Equity",2103593344,45.78730011,7.354177952
